event_id,event_date,event_type,severity_level,cause,description,affected_product_id,affected_product_name,affected_supplier_id,affected_supplier_name,location_country,location_state,location_city,delay_duration_hours,shortage_quantity,financial_impact_usd,resolved,resolution_date,resolution_notes
EVT-00220,2022-09-07,transportation_failure,moderate,other,Unexpected customs inspection delayed shipments at the border.,P-11738,Textile Roll,S-3020,Textile Source,MX,Nuevo León,Monterrey,13,,1200,true,2022-09-09,All shipments cleared after compliance review.
EVT-00221,2021-03-20,shortage,severe,regulatory,"Sudden regulatory change restricted imports, causing a notable shortage.",P-10657,Circuit Board,S-3207,BoardMakers,IN,Maharashtra,Pune,,18750,112000,false,,
EVT-00222,2022-11-15,delay,minor,weather,"Severe rain caused local flooding, resulting in minor delivery delays.",P-11633,Rubber Seal,S-3118,RubberForm,UK,Scotland,Glasgow,4,,270,true,2022-11-16,Deliveries delayed by one day due to local road closures.
EVT-00223,2023-06-28,quality_issue,moderate,unknown,"Moderate quality problems detected in a recent batch, requiring partial recall.",P-12234,Insulating Washer,,,DE,Hesse,Frankfurt,,230,1850,true,2023-07-03,Affected customers notified; replacement units shipped.
EVT-00224,2023-02-19,natural_disaster,severe,other,Earthquake in the region caused partial disruption to supply networks.,P-10755,Vibration Sensor,S-3211,Sensorix,JP,Tohoku,Sendai,,820,132000,false,,
EVT-00225,2022-03-08,delay,minor,other,Minor supply chain software update delayed order processing.,P-12541,Polymer Tube,S-3267,PolyTech Corp,FR,Normandy,Rouen,3.5,,185,true,2022-03-09,Orders processed after update completed.
EVT-00226,2021-07-18,shortage,critical,unknown,Unknown supply disruption led to a critical shortage in finished goods.,P-11711,Copper Tube,S-3014,Copper Dynamics,IT,Veneto,Venice,,145000,2500000,false,,
EVT-00227,2022-10-13,transportation_failure,moderate,equipment_failure,Truck engine malfunction delayed regional deliveries.,P-11320,Aluminum Frame,S-3392,FrameMakers Inc,US,Georgia,Atlanta,19.5,,1320,true,2022-10-14,Replacement vehicle dispatched to complete deliveries.
EVT-00228,2023-07-09,delay,minor,weather,Thunderstorm warnings caused delays in shipping schedules for outbound products.,P-11112,Pressure Gauge,S-3068,GaugeWorks,DE,Saxony,Leipzig,5,,235,true,2023-07-10,Deliveries rescheduled to avoid hazardous conditions.
EVT-00229,2023-04-21,shortage,severe,unknown,Unexplained shortage in inventory caused delays in customer orders.,P-10996,Gear Assembly,S-3127,GearPro,BR,Rio de Janeiro,Rio de Janeiro,,14660,610000,false,,
EVT-00230,2022-01-21,delay,minor,weather,Snowfall in the region resulted in minor delivery delays for several orders.,P-10422,Cable Clamp,S-3050,ClampTech,US,Michigan,Detroit,3,,145,true,2022-01-22,Deliveries resumed after roads cleared.
EVT-00231,2022-11-01,transportation_failure,critical,other,Critical breakdown in main railway delayed bulk shipments for three days.,P-10114,Structural Beam,S-3038,Steel Structures,DE,North Rhine-Westphalia,Düsseldorf,72,,99000,false,,
EVT-00232,2024-03-16,quality_issue,moderate,equipment_failure,"Moderate batch defects due to calibration issues, partial recall issued.",P-12210,Voltage Regulator,S-3139,Regulonix,CN,Sichuan,Chengdu,,340,2800,true,2024-03-21,Recalled units replaced and batch retested.
EVT-00233,2021-09-03,shortage,critical,supplier_issue,Supplier's fire incident led to a critical shortage in supply chain.,P-11588,Heat Exchanger,S-3041,Thermal Systems,ZA,Western Cape,Cape Town,,112000,2050000,false,,
EVT-00234,2022-03-28,delay,minor,demand_spike,Increase in customer orders led to a short delay in fulfillment.,P-11231,Carbon Rod,S-3275,Carbonix,US,Colorado,Denver,2.25,,95,true,2022-03-28,Fulfillment team processed backlog on overtime.
EVT-00235,2023-12-12,natural_disaster,severe,other,"Wildfires disrupted logistics operations, causing significant supply chain interruptions.",P-11512,Fireproof Panel,S-3024,SafeBuild,US,California,Sacramento,,3650,264000,false,,
EVT-00236,2022-12-10,delay,minor,other,System integration testing slowed down shipping processes.,,,S-3119,Integratech,FR,Provence-Alpes,Marseille,7,,260,true,2022-12-12,System issues fixed; normal operations resumed.
EVT-00237,2022-08-27,transportation_failure,critical,equipment_failure,Critical conveyor belt malfunction stopped distribution for 36 hours.,P-12403,Conveyor Belt,S-3403,ConveyX,UK,Wales,Cardiff,36,,53000,false,,
EVT-00238,2023-05-15,quality_issue,minor,equipment_failure,Minor surface defects from worn manufacturing tools detected in outgoing products.,P-10379,Steel Plate,S-3017,SteelNext Ltd,CN,Guangdong,Shenzhen,,95,110,true,2023-05-17,Defective plates removed from outgoing orders.
EVT-00239,2022-07-10,delay,minor,weather,Tropical storm delayed deliveries to southern coastal areas.,P-10522,HVAC Unit,S-3185,ClimateTech,US,Florida,Miami,6.5,,480,true,2022-07-11,Deliveries resumed after storm cleared.
EVT-00240,2023-08-21,shortage,critical,labor_strike,Work stoppage at supplier facility caused a sharp product shortage.,P-11620,Hydraulic Pump,S-3095,HydroLift,IN,Tamil Nadu,Chennai,,44000,875000,false,,
EVT-00241,2021-11-24,delay,minor,demand_spike,Unexpected holiday season demand led to shipping delays for key SKUs.,P-12310,Display Case,S-3055,Showcase Ltd,FR,Île-de-France,Paris,8,,610,true,2021-11-25,Fulfillment prioritized high-volume orders.
EVT-00242,2022-05-01,transportation_failure,severe,equipment_failure,Shipping container crane malfunction delayed port operations by 10 hours.,P-10242,Shipping Pallet,S-3160,PalletEx,US,New Jersey,Newark,10.25,,2775,true,2022-05-02,Maintenance completed and port activities resumed.
EVT-00243,2024-02-18,natural_disaster,critical,weather,Tornado outbreak disrupted supply routes and halted regional deliveries.,P-12008,Weather Sensor,S-3377,WeatherTech,US,Oklahoma,Tulsa,,15800,1460000,true,2024-03-02,Alternative routes found and operations restored.
EVT-00244,2023-05-25,quality_issue,minor,supplier_issue,Supplier's new material batch resulted in minor quality discrepancies.,P-11808,Plastic Spacer,S-3257,Plastix Solutions,CN,Jiangsu,Suzhou,,65,275,true,2023-05-29,Supplier improved quality control for future batches.
EVT-00245,2021-06-02,shortage,severe,regulatory,Regulatory import delays caused temporary shortage in key manufacturing materials.,P-12444,Polymer Resin,,,KR,Jeollanam,Gwangju,,10200,88000,true,2021-06-10,Customs clearance obtained for delayed shipments.
EVT-00246,2022-10-01,delay,minor,weather,Dense fog delayed morning loading operations at the port.,P-12321,Marine Paint,S-3332,Oceana Paints,UK,England,Liverpool,5.25,,180,true,2022-10-01,Shipping resumed once fog cleared.
EVT-00247,2023-09-13,delay,minor,demand_spike,Promotional event demand spike resulted in delayed order processing.,,,,,US,Oregon,Portland,4.5,,200,true,2023-09-14,Temporary staff hired to assist with processing.
EVT-00248,2022-04-18,transportation_failure,severe,equipment_failure,Forklift breakdown at distribution center delayed outgoing shipments.,P-11579,Forklift Battery,S-3150,LiftPower,BR,Paraná,Curitiba,22,,2200,true,2022-04-19,Forklift repaired and normal operations restored.
EVT-00249,2021-08-09,quality_issue,minor,other,"Packaging misprint led to minor quality complaint, no product recall needed.",,,S-3037,PackPrint,DE,Baden-Württemberg,Stuttgart,,0,90,true,2021-08-11,Printing error fixed for subsequent runs.
EVT-00250,2022-06-30,shortage,critical,supplier_issue,Supplier shutdown in response to compliance violation caused a major product shortage.,P-12101,Compliance Meter,S-3075,MeterLogic,CN,Shandong,Jinan,,111000,1450000,false,,
EVT-00201,2023-08-18,delay,moderate,weather,Severe rainstorm caused a moderate delay in outbound shipments from facility.,P-10001,Premium Steel Rod,S-1201,Rainford Metals,US,Texas,Houston,8.5,,2850.75,true,2023-08-20,Shipments resumed after weather conditions improved.
EVT-00202,2024-01-07,shortage,critical,supplier_issue,Unexpected supplier bankruptcy led to a critical shortage in Q1 supply.,P-10002,Aluminum Panel,,,JP,Aichi,Nagoya,,130000,2200000,false,,
EVT-00203,2022-11-12,quality_issue,minor,equipment_failure,Minor quality issue detected during inspection; faulty press affected batch.,P-10003,Copper Wire 20m,S-1202,QuickFix Electrics,PL,Mazovia,Warsaw,,47,230,true,2022-11-15,Issue resolved with rapid equipment maintenance.
EVT-00204,2023-05-22,transportation_failure,severe,other,Major highway accident caused severe disruption to freight delivery routes.,P-10004,Industrial Paint,S-1203,PrimeChem Supplies,IT,Lombardy,Milan,19,,4400,false,,
EVT-00205,2022-03-10,natural_disaster,critical,weather,Earthquake in region resulted in critical supply shortages and halted production.,P-10005,Battery Cell,S-1204,Nippon Energy,JP,Miyagi,Sendai,,47000,3500000,false,,
EVT-00206,2023-02-01,delay,minor,demand_spike,Unexpected increase in orders led to minor outbound delays.,P-10006,Glass Fiber Sheet,S-1205,GlassWorks Corp.,US,California,Sacramento,3,,780,true,2023-02-01,Extra shifts added; backlog cleared same day.
EVT-00207,2024-03-14,delay,minor,weather,Snowstorm delayed truck arrivals at regional distribution center.,P-10007,Plastic Crate,S-1206,PackPro Plastics,DE,Bavaria,Munich,7.5,,1040,true,2024-03-15,Weather improved and delivery completed next day.
EVT-00208,2023-06-02,quality_issue,moderate,unknown,Moderate product defect found during batch testing; cause not identified.,,,S-1207,Nordic Metals,NO,Vestland,Bergen,,277,4500,true,2023-06-05,Defective units isolated; investigation ongoing.
EVT-00209,2022-10-16,shortage,severe,regulatory,New import regulations delayed critical raw material shipments.,P-10008,Rubber Seal,S-1208,GreenRubber Inc.,KR,Gyeonggi,Suwon,,35000,580000,false,,
EVT-00210,2023-07-19,transportation_failure,moderate,equipment_failure,Moderate delay due to forklift breakdown during cargo handling.,P-10009,Steel Beam,S-1209,Structura Ltd.,CA,Ontario,Toronto,11.5,,900,true,2023-07-20,Equipment serviced; normal operations resumed.
EVT-00211,2021-12-29,delay,minor,weather,"Foggy conditions slowed unloading at port, causing minor delay.",P-10010,Copper Pipe,S-1210,PipeLine Supplies,FR,Île-de-France,Paris,4,,570,true,2021-12-29,Fog lifted and operations normalized same day.
EVT-00212,2022-08-10,natural_disaster,severe,other,Landslide in region led to road closures and supply chain disruption.,P-10011,Ceramic Tile,S-1211,TerraCotta Tiles,IN,Kerala,Kochi,,18000,150000,false,,
EVT-00213,2023-09-01,delay,minor,demand_spike,Increased online orders caused minor backlog at fulfillment center.,P-10012,LED Bulb,S-1212,BrightLight Electronics,UK,England,London,2,,110,true,2023-09-02,Backlog cleared with additional staff the next day.
EVT-00214,2024-05-08,shortage,critical,labor_strike,Labor strike at supplier facility caused critical shortage in key components.,P-10013,Microchip Set,S-1213,Korea Semicon,KR,Gyeongsang,Busan,,230000,3500000,false,,
EVT-00215,2023-11-04,quality_issue,critical,supplier_issue,Critical quality flaw discovered in incoming consignment from trusted supplier.,P-10014,Plastic Panel,S-1214,PolyTech Group,ZA,Gauteng,Johannesburg,,990,17000,true,2023-11-09,Supplier replaced the defective stock; compensation issued.
EVT-00216,2022-07-18,delay,minor,weather,"Thunderstorms delayed air freight, minor impact on delivery schedule.",P-10015,Printed Circuit Board,S-1215,Future Circuits,US,Georgia,Atlanta,6,,350,true,2022-07-19,Delivery rescheduled after weather cleared.
EVT-00217,2023-03-23,transportation_failure,critical,equipment_failure,Critical equipment breakdown led to major port congestion and shipment delays.,P-10016,Diesel Engine,S-1216,Portside Engineering,DE,Hamburg,Hamburg,41,,150000,false,,
EVT-00218,2021-11-09,shortage,severe,unknown,Supplier's warehouse fire resulted in severe shortage for several weeks.,P-10017,Textile Roll,S-1217,BlueThread Mills,BR,São Paulo,Campinas,,12000,185000,false,,
EVT-00219,2024-01-30,delay,minor,other,Minor IT system outage briefly halted order processing.,P-10018,Thermal Paper,S-1218,PrintSource LLC,US,Ohio,Columbus,2.5,,61,true,2024-01-30,System restored and orders processed same day.
EVT-00220,2023-04-12,transportation_failure,critical,other,Critical cross-border rail disruption due to customs system failure.,P-10019,Steel Pipe,S-1219,Metallo Exports,ZA,KwaZulu-Natal,Durban,39,,1920000,false,,
EVT-00221,2022-09-22,quality_issue,minor,equipment_failure,Minor defect observed in produced batch due to calibration error.,P-10020,Machined Bolt,,,NL,North Holland,Amsterdam,,23,120,true,2022-09-24,Calibration issue fixed; production resumed.
EVT-00222,2023-12-10,shortage,critical,unknown,Unexpected shortage due to unplanned surge in demand.,P-10021,Synthetic Leather,,,IN,Maharashtra,Mumbai,,60000,770000,false,,
EVT-00223,2022-05-10,delay,minor,weather,Heavy rain led to minor delivery delays at logistics hub.,P-10022,Plastic Drum,S-1220,Plastix Manufacturing,UK,Scotland,Glasgow,5,,130,true,2022-05-11,Deliveries resumed following improved weather.
EVT-00224,2021-10-22,quality_issue,moderate,other,Moderate surface imperfections detected during quality check.,P-10023,Galvanized Sheet,S-1221,SheetMetal Partners,CA,British Columbia,Vancouver,,320,1800,true,2021-10-26,Surface defects polished and shipment cleared.
EVT-00225,2023-06-14,transportation_failure,moderate,other,Moderate delay experienced due to cross-docking error.,P-10024,Electronic Relay,S-1222,Relay Systems,US,Illinois,Chicago,13,,1900,true,2023-06-15,Cross-docking procedures reviewed and fixed.
EVT-00226,2022-01-05,delay,minor,weather,Frost led to slowdowns in early morning loading process.,,,S-1223,Frostline Transports,FI,Uusimaa,Helsinki,3.5,,78,true,2022-01-05,Operations caught up by midday.
EVT-00227,2023-01-15,delay,minor,weather,Minor snowstorm caused brief delays in shipment arrivals.,P-10025,Packaging Tape,S-1224,TapeTech Co.,US,Colorado,Denver,4,,155,true,2023-01-15,Shipments resumed after quick snow removal.
EVT-00228,2024-02-17,natural_disaster,critical,weather,Cyclone caused port closure and halted material import for one week.,P-10026,Industrial Valve,S-1225,ValveWorks Ltd.,AU,Queensland,Brisbane,,120000,4100000,false,,
EVT-00229,2023-02-21,shortage,severe,regulatory,"Regulatory audits delayed shipment clearance, causing severe shortage.",P-10027,Medical Syringe,S-1226,MedSupply Ltd.,CN,Guangdong,Guangzhou,,33000,210000,false,,
EVT-00230,2022-04-19,delay,minor,weather,High winds at airport delayed critical inbound components.,P-10028,Lithium Battery,S-1227,LithoCell Energy,US,Nevada,Reno,5.5,,400,true,2022-04-20,Flights resumed and parts delivered next day.
EVT-00231,2023-09-07,quality_issue,moderate,equipment_failure,Moderate failure in processing equipment caused defective batch.,,,,,US,Tennessee,Memphis,,144,680,true,2023-09-13,Defective batch was scrapped; new run scheduled.
EVT-00232,2022-06-16,transportation_failure,severe,equipment_failure,Severe breakdown of transport vehicle led to missed delivery windows.,P-10029,Polymer Resin,S-1228,ResinPlus,FR,Occitanie,Toulouse,27,,5700,true,2022-06-17,Alternate transport arranged the next day.
EVT-00233,2022-11-28,quality_issue,critical,other,Critical foreign particle contamination identified in product sample.,P-10030,Stainless Fastener,S-1229,SteelCraft Ltd.,IN,Tamil Nadu,Chennai,,980,14200,true,2022-12-04,Entire batch was recalled and replaced.
EVT-00234,2023-01-31,delay,minor,other,Minor IT system update caused brief warehouse process lag.,P-10031,Packing Foam,S-1230,SafePack Solutions,US,Arizona,Phoenix,1.5,,62,true,2023-01-31,System rebooted; normal pace restored.
EVT-00235,2022-03-30,shortage,critical,labor_strike,Prolonged labor strike led to critical shortage in raw materials.,P-10032,Aluminum Coil,S-1231,AluSource,BR,Rio de Janeiro,Rio de Janeiro,,260000,5900000,false,,
EVT-00236,2023-04-08,transportation_failure,severe,other,Severe disruption on main rail line delayed bulk cargo.,P-10033,Bulk Cement,S-1232,Cementum SA,DE,North Rhine,Cologne,25,,2900,false,,
EVT-00237,2021-12-07,quality_issue,minor,other,Minor packaging flaw observed during internal audit process.,P-10034,Cardboard Box,,,FR,Provence,Marseille,,16,80,true,2021-12-09,Packaging material replaced and shipments resumed.
EVT-00238,2024-04-12,delay,minor,demand_spike,Demand spike after promotion caused minor order fulfillment delays.,P-10035,Sports Bottle,S-1233,Hydratech,US,Oregon,Portland,2.5,,95,true,2024-04-13,Overtime applied to clear backlog.
EVT-00239,2023-08-02,natural_disaster,severe,other,Flooding caused partial loss of inventory and shipment cancellations.,P-10036,Woven Fabric,S-1234,Asian Textiles,CN,Sichuan,Chengdu,,17000,220000,false,,
EVT-00240,2024-01-04,delay,minor,demand_spike,Flash sale led to a brief delay in warehouse picking operations.,P-10037,Bluetooth Headset,S-1235,SoundVision,DE,Saxony,Dresden,3.5,,150,true,2024-01-04,Short delay resolved with overtime shift.
EVT-00241,2022-02-16,transportation_failure,moderate,equipment_failure,Moderate delivery delay due to truck breakdown near border.,P-10038,Granite Slab,S-1236,StoneWorks Inc.,IT,Tuscany,Florence,12,,1080,true,2022-02-17,Replacement truck dispatched and goods delivered.
EVT-00242,2023-10-10,shortage,critical,supplier_issue,Critical shortage caused by sudden supplier insolvency.,P-10039,Motor Core,,,CN,Jiangsu,Nanjing,,98000,1300000,false,,
EVT-00243,2022-10-03,quality_issue,minor,unknown,Slight discoloration noticed during visual product inspection.,P-10040,Plastic Lid,S-1237,LidTech,PL,Lesser Poland,Krakow,,60,150,true,2022-10-07,Defective pieces removed from batch.
EVT-00244,2021-09-16,delay,moderate,weather,Tropical storm caused moderate delays at regional depot.,P-10041,Steel Cable,S-1238,CablePro,US,Florida,Jacksonville,16,,1150,true,2021-09-18,Operations normalized after storm passed.
EVT-00245,2022-05-20,delay,minor,weather,"Rain showers slowed loading docks, causing minor shipment delay.",P-10042,Insulation Board,S-1239,InsulSafe,US,Pennsylvania,Philadelphia,3,,97,true,2022-05-20,Backlog resolved by end of shift.
EVT-00246,2023-11-27,shortage,critical,labor_strike,Union strike at plant caused critical shortage in output.,P-10043,Engine Block,S-1240,MotorBase Ltd.,IT,Piedmont,Turin,,144000,2800000,false,,
EVT-00247,2023-07-12,delay,minor,weather,Minor windstorm temporarily paused outbound shipments.,P-10044,Garden Tool,S-1241,GreenTools,US,Minnesota,Minneapolis,3,,78,true,2023-07-12,Operations resumed after wind subsided.
EVT-00248,2022-10-15,transportation_failure,critical,equipment_failure,Critical crane malfunction halted port unloading for 48 hours.,P-10045,Aluminum Ingot,S-1242,AluTrans,FR,Normandy,Le Havre,48,,1700000,false,,
EVT-00249,2023-05-18,quality_issue,moderate,supplier_issue,Moderate issues found in supplier's material consistency during audit.,P-10046,Rubber Gasket,S-1243,RubberSeal,UK,Wales,Cardiff,,312,2700,true,2023-05-21,Supplier provided replacement shipment.
EVT-00250,2023-10-14,delay,minor,weather,Minor storm front caused delays at outgoing shipping docks.,P-10047,Printer Cartridge,S-1244,Inketronics,US,North Carolina,Charlotte,4,,65,true,2023-10-14,Minor delays resolved with extra shift.
